Date,"Roger Federer","Rafael Nadal","Novak Djokovic","Andy Murray"
2019-03-07,5735,3000,3304,2377
2019-03-08,5486,3193,3332,1603
2019-03-09,5657,3012,3764,1734
2019-03-10,8856,4175,6552,2089
2019-03-11,7871,6960,5078,1958
2019-03-12,6117,4553,5823,1842
2019-03-13,11827,6520,6353,3148
2019-03-14,9571,5026,3912,2258
2019-03-15,9258,7326,4008,1878
2019-03-16,15632,12842,6013,2382
2019-03-17,18265,7402,5698,2293
2019-03-18,21642,5199,5311,2271
2019-03-19,6408,3258,3109,1649
2019-03-20,5962,3136,3207,1412
2019-03-21,5091,2985,3247,1554
2019-03-22,5055,2844,3077,1840
2019-03-23,8741,3164,4845,1917
2019-03-24,9696,3923,5793,2416
2019-03-25,8688,3467,4644,1842
2019-03-26,8150,3787,6031,2089
2019-03-27,11432,4110,6354,2055
2019-03-28,12330,4179,4591,2073
2019-03-29,17149,5123,4570,2196
2019-03-30,19770,4371,4239,2009
2019-03-31,37519,6151,6421,2283
2019-04-01,26749,5884,6117,2186
2019-04-02,12151,4084,3791,2582
2019-04-03,7507,3422,3090,1691
2019-04-04,6563,3102,2899,1495
2019-04-05,5708,2845,2515,1354
2019-04-06,5728,2795,2709,1298
2019-04-07,5768,2786,2674,1465
2019-04-08,5328,2906,2756,1418
2019-04-09,4847,2781,2458,1342
2019-04-10,4285,2762,2443,1345
2019-04-11,4284,2715,2405,1373
2019-04-12,4200,4046,2480,1419
2019-04-13,4449,3113,2557,1375
2019-04-14,6768,3879,3357,1657
2019-04-15,6812,4212,4451,1705
2019-04-16,5695,3774,4894,1623
2019-04-17,5166,5487,3732,1494
2019-04-18,5619,5899,4131,1461
2019-04-19,5961,8524,6897,1733
2019-04-20,6665,9817,4772,1923
2019-04-21,6160,6323,4071,1748
2019-04-22,5023,4213,3150,1461
2019-04-23,4565,3612,2761,1794
2019-04-24,4525,4978,2851,1927
2019-04-25,4683,5253,2723,1682
2019-04-26,4364,5007,2541,1451
2019-04-27,5265,9035,3210,1510
2019-04-28,5424,5816,3624,3327
2019-04-29,4319,3390,2786,1460
2019-04-30,3959,3108,2521,1722
2019-05-01,4004,2889,2359,2116
2019-05-02,4144,2771,2307,1815
2019-05-03,4199,2745,2553,1923
2019-05-04,4605,3154,2853,1609
2019-05-05,4935,3163,2872,1670
2019-05-06,5480,3238,3188,1510
2019-05-07,7433,3539,3769,1967
2019-05-08,7034,5217,3477,1974
2019-05-09,11899,6444,5152,2344
2019-05-10,12785,7585,5762,2098
2019-05-11,10531,14638,10924,2592
2019-05-12,10045,11856,24410,2767
2019-05-13,6770,6308,12388,2246
2019-05-14,6017,4470,5952,2106
2019-05-15,5896,4646,5024,3893
2019-05-16,11299,6729,8040,9763
2019-05-17,10190,8016,9357,5965
2019-05-18,7872,10604,11774,3492
2019-05-19,12715,30982,21542,7036
2019-05-20,8211,15713,8659,3604
2019-05-21,6268,7515,5625,2769
2019-05-22,6629,7449,8280,2520
2019-05-23,6449,7021,5884,2229
2019-05-24,7208,7174,5541,2459
2019-05-25,7168,7082,6032,2579
2019-05-26,20156,12026,9416,4162
2019-05-27,18785,20683,15778,5374
2019-05-28,11501,11108,9936,4488
2019-05-29,20234,17182,10603,4873
2019-05-30,16506,14443,13623,5644
2019-05-31,27521,23396,13595,5568
2019-06-01,21685,21004,17309,5948
2019-06-02,37982,28974,17663,9088
