,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,Draft_Yr
37,New York,From Dallas:  Rolando Blackman,Dallas,From New York:  Future 1st Round Pick (1995),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1992
38,Milwaukee,From Utah:  Theodore Edwards  Eric Murdock  1st Round 23rd Pick of 1992 Draft,Utah,From Milwaukee:  Jay Humphries  Larry Krystkowiak,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1992
39,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1993
40,1993 Draft Day Trades  Trades between teams sent and received  Golden State From Orlando:  Chris Webber Orlando From Golden State:  Anfernee Hardaway  Three 1st Round Draft Picks (TBD) Dallas From Houston:  Popeye Jones Houston From Dallas:  Eric Riley Golden State From Denver:  Josh Grant  Future 2nd Pick (1994) Denver From Golden State:  Darnell Mee New Jersey From Washington:  2nd Round 36th Pick of 1993 Draft Washington From New Jersey:  Cash Considerations Utah From Minnesota:  Felton Spencer Minnesota From Utah:  Mike Brown,1993 Draft Day Trades  Trades between teams sent and received  Golden State From Orlando:  Chris Webber Orlando From Golden State:  Anfernee Hardaway  Three 1st Round Draft Picks (TBD) Dallas From Houston:  Popeye Jones Houston From Dallas:  Eric Riley Golden State From Denver:  Josh Grant  Future 2nd Pick (1994) Denver From Golden State:  Darnell Mee New Jersey From Washington:  2nd Round 36th Pick of 1993 Draft Washington From New Jersey:  Cash Considerations Utah From Minnesota:  Felton Spencer Minnesota From Utah:  Mike Brown,1993 Draft Day Trades,Trades between teams sent and received,Golden State,From Orlando:  Chris Webber,Orlando,From Golden State:  Anfernee Hardaway  Three 1st Round Draft Picks (TBD),Dallas,From Houston:  Popeye Jones,Houston,From Dallas:  Eric Riley,Golden State,From Denver:  Josh Grant  Future 2nd Pick (1994),Denver,From Golden State:  Darnell Mee,New Jersey,From Washington:  2nd Round 36th Pick of 1993 Draft,Washington,From New Jersey:  Cash Considerations,Utah,From Minnesota:  Felton Spencer,Minnesota,From Utah:  Mike Brown,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1993
41,1993 Draft Day Trades  Trades between teams sent and received  Golden State From Orlando:  Chris Webber Orlando From Golden State:  Anfernee Hardaway  Three 1st Round Draft Picks (TBD) Dallas From Houston:  Popeye Jones Houston From Dallas:  Eric Riley Golden State From Denver:  Josh Grant  Future 2nd Pick (1994) Denver From Golden State:  Darnell Mee New Jersey From Washington:  2nd Round 36th Pick of 1993 Draft Washington From New Jersey:  Cash Considerations Utah From Minnesota:  Felton Spencer Minnesota From Utah:  Mike Brown,1993 Draft Day Trades,Trades between teams sent and received,Golden State,From Orlando:  Chris Webber,Orlando,From Golden State:  Anfernee Hardaway  Three 1st Round Draft Picks (TBD),Dallas,From Houston:  Popeye Jones,Houston,From Dallas:  Eric Riley,Golden State,From Denver:  Josh Grant  Future 2nd Pick (1994),Denver,From Golden State:  Darnell Mee,New Jersey,From Washington:  2nd Round 36th Pick of 1993 Draft,Washington,From New Jersey:  Cash Considerations,Utah,From Minnesota:  Felton Spencer,Minnesota,From Utah:  Mike Brown,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1993
42,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1993
43,1993 Draft Day Trades,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1993
44,Trades between teams sent and received,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1993
45,Golden State,From Orlando:  Chris Webber,Orlando,From Golden State:  Anfernee Hardaway  Three 1st Round Draft Picks (TBD),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1993
46,Dallas,From Houston:  Popeye Jones,Houston,From Dallas:  Eric Riley,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1993
