,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,Draft_Yr
117,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2000
118,2000 Draft Day Trades,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2000
119,Trades between teams sent and received,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2000
120,Cleveland,From Chicago:  Chris Mihm,Chicago,From Cleveland:  Jamal Crawford  Cash Considerations,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2000
121,Houston,From Milwaukee:  Jason Collier  Future 1st Round Pick  top 10 protected in 2001.,Milwaukee,From Houston:  Joel Przybilla,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2000
122,Dallas,From Orlando:  Courtney Alexander,Orlando,From Dallas:  2nd Round 31st Pick of 2000 Draft  Future 1st Round Pick lottery protected in 2001.  3 Million Dollars,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2000
123,LA Clippers,From Orlando:  Keyon Dooling  Corey Maggette  Derek Strong  2nd Round 31st Pick of 2000 Draft  Cash Considerations,Orlando,From LA Clippers:  Future 1st Round Pick  lottery protected.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2000
124,New York,From Dallas:  Erick Strickland  Pete Mickeal,Dallas,From New York:  Donnell Harvey  John Wallace,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2000
125,LA Clippers,From Dallas:  Sean Rooks,Dallas,From LA Clippers:  Eric Murdock  2nd Round 31st Pick of 2000 Draft,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2000
126,Houston,From Dallas:  Dan Langhi,Mavericks,From Houston:  Eduardo Najera  Future 2nd Round Pick (2001),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2000
127,Boston,From Seattle:  Josip Sesar,Seattle,From Boston:  Two Future 2nd Round Picks (TBA),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2000
128,San Antonio,From LA Lakers:  Two Future 2nd Round Picks (TBA),LA Lakers,From San Antonio:  Cory Hightower,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2000
129,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2001
130,2001 Draft Day Trades  Trades between teams sent and received  Chicago From LA Clippers:  Tyson Chandler  Brian Skinner LA Clippers From Chicago:  Elton Brand New Jersey From Houston:  Richard Jefferson  Jason Collins  Brandon Armstrong Houston From New Jersey:  Eddie Griffin Atlanta From Vancouver:  Shareef Abdur-Rahim  1st Round 27th Pick of 2001 Draft Vancouver From Atlanta:  Lorenzen Wright  Brevin Knight  Pau Gasol Atlanta From Indiana:  Future 1st Round Draft Pick (TBA) Indiana From Atlanta:  Jamaal Tinsley Atlanta From Houston:  Future 1st Round Draft Pick (TBA) Houston From Atlanta:  Terence Morris Orlando From Cleveland:  Brendan Haywood Cleveland From Orlando:  Michael Doleac Orlando From Denver:  Nothing was given.  Trade was done to satisfy conditions  of a previous trade. Denver From Orlando:  Omar Cook Washington From Seattle:  Bobby Simmons Seattle From Washington:  Predrag Drobnjak,2001 Draft Day Trades  Trades between teams sent and received  Chicago From LA Clippers:  Tyson Chandler  Brian Skinner LA Clippers From Chicago:  Elton Brand New Jersey From Houston:  Richard Jefferson  Jason Collins  Brandon Armstrong Houston From New Jersey:  Eddie Griffin Atlanta From Vancouver:  Shareef Abdur-Rahim  1st Round 27th Pick of 2001 Draft Vancouver From Atlanta:  Lorenzen Wright  Brevin Knight  Pau Gasol Atlanta From Indiana:  Future 1st Round Draft Pick (TBA) Indiana From Atlanta:  Jamaal Tinsley Atlanta From Houston:  Future 1st Round Draft Pick (TBA) Houston From Atlanta:  Terence Morris Orlando From Cleveland:  Brendan Haywood Cleveland From Orlando:  Michael Doleac Orlando From Denver:  Nothing was given.  Trade was done to satisfy conditions  of a previous trade. Denver From Orlando:  Omar Cook Washington From Seattle:  Bobby Simmons Seattle From Washington:  Predrag Drobnjak,2001 Draft Day Trades,Trades between teams sent and received,Chicago,From LA Clippers:  Tyson Chandler  Brian Skinner,LA Clippers,From Chicago:  Elton Brand,New Jersey,From Houston:  Richard Jefferson  Jason Collins  Brandon Armstrong,Houston,From New Jersey:  Eddie Griffin,Atlanta,From Vancouver:  Shareef Abdur-Rahim  1st Round 27th Pick of 2001 Draft,Vancouver,From Atlanta:  Lorenzen Wright  Brevin Knight  Pau Gasol,Atlanta,From Indiana:  Future 1st Round Draft Pick (TBA),Indiana,From Atlanta:  Jamaal Tinsley,Atlanta,From Houston:  Future 1st Round Draft Pick (TBA),Houston,From Atlanta:  Terence Morris,Orlando,From Cleveland:  Brendan Haywood,Cleveland,From Orlando:  Michael Doleac,Orlando,From Denver:  Nothing was given.  Trade was done to satisfy conditions  of a previous trade.,Denver,From Orlando:  Omar Cook,Washington,From Seattle:  Bobby Simmons,Seattle,From Washington:  Predrag Drobnjak,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2001
131,2001 Draft Day Trades  Trades between teams sent and received  Chicago From LA Clippers:  Tyson Chandler  Brian Skinner LA Clippers From Chicago:  Elton Brand New Jersey From Houston:  Richard Jefferson  Jason Collins  Brandon Armstrong Houston From New Jersey:  Eddie Griffin Atlanta From Vancouver:  Shareef Abdur-Rahim  1st Round 27th Pick of 2001 Draft Vancouver From Atlanta:  Lorenzen Wright  Brevin Knight  Pau Gasol Atlanta From Indiana:  Future 1st Round Draft Pick (TBA) Indiana From Atlanta:  Jamaal Tinsley Atlanta From Houston:  Future 1st Round Draft Pick (TBA) Houston From Atlanta:  Terence Morris Orlando From Cleveland:  Brendan Haywood Cleveland From Orlando:  Michael Doleac Orlando From Denver:  Nothing was given.  Trade was done to satisfy conditions  of a previous trade. Denver From Orlando:  Omar Cook Washington From Seattle:  Bobby Simmons Seattle From Washington:  Predrag Drobnjak,2001 Draft Day Trades,Trades between teams sent and received,Chicago,From LA Clippers:  Tyson Chandler  Brian Skinner,LA Clippers,From Chicago:  Elton Brand,New Jersey,From Houston:  Richard Jefferson  Jason Collins  Brandon Armstrong,Houston,From New Jersey:  Eddie Griffin,Atlanta,From Vancouver:  Shareef Abdur-Rahim  1st Round 27th Pick of 2001 Draft,Vancouver,From Atlanta:  Lorenzen Wright  Brevin Knight  Pau Gasol,Atlanta,From Indiana:  Future 1st Round Draft Pick (TBA),Indiana,From Atlanta:  Jamaal Tinsley,Atlanta,From Houston:  Future 1st Round Draft Pick (TBA),Houston,From Atlanta:  Terence Morris,Orlando,From Cleveland:  Brendan Haywood,Cleveland,From Orlando:  Michael Doleac,Orlando,From Denver:  Nothing was given.  Trade was done to satisfy conditions  of a previous trade.,Denver,From Orlando:  Omar Cook,Washington,From Seattle:  Bobby Simmons,Seattle,From Washington:  Predrag Drobnjak,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2001
132,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2001
133,2001 Draft Day Trades,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2001
134,Trades between teams sent and received,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2001
135,Chicago,From LA Clippers:  Tyson Chandler  Brian Skinner,LA Clippers,From Chicago:  Elton Brand,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2001
136,New Jersey,From Houston:  Richard Jefferson  Jason Collins  Brandon Armstrong,Houston,From New Jersey:  Eddie Griffin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2001
137,Atlanta,From Vancouver:  Shareef Abdur-Rahim  1st Round 27th Pick of 2001 Draft,Vancouver,From Atlanta:  Lorenzen Wright  Brevin Knight  Pau Gasol,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2001
138,Atlanta,From Indiana:  Future 1st Round Draft Pick (TBA),Indiana,From Atlanta:  Jamaal Tinsley,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2001
139,Atlanta,From Houston:  Future 1st Round Draft Pick (TBA),Houston,From Atlanta:  Terence Morris,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2001
140,Orlando,From Cleveland:  Brendan Haywood,Cleveland,From Orlando:  Michael Doleac,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2001
141,Orlando,From Denver:  Nothing was given.  Trade was done to satisfy conditions  of a previous trade.,Denver,From Orlando:  Omar Cook,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2001
142,Washington,From Seattle:  Bobby Simmons,Seattle,From Washington:  Predrag Drobnjak,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2001
143,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2002
144,2002 Draft Day Trades  Trades between teams sent and received  New York From Denver:  Antonio McDyess  Frank Williams  2nd Round Pick (2003) Denver From New York:  Marcus Camby  Mark Jackson  Maybyner Hilario Orlando From Utah:  Ryan Humphrey  Jamal Sampson Utah From Orlando:  Curtis Borchardt Orlando From Milwaukee:  Rashard Griffith Milwaukee From Orlando:  Jamal Sampson Memphis From Cleveland:  Wesley Person Cleveland From Memphis:  Matt Barnes  Nick Anderson Toronto From LA Lakers:  Lindsey Hunter  Chris Jefferies LA Lakers From Toronto:  Kareem Rush  Tracy Murray Milwaukee From Memphis:  Future 2nd Round Pick (2003) Memphis From Milwaukee:  Chris Owens Sacramento From Atlanta:  Future 1st Round Pick (TBA) Atlanta From Sacramento:  Dan Dickau Philadelphia From San Antonio:  Mark Bryant  John Salmons  Randy Holcomb San Antonio From Philadelphia:  Craig Claxton Atlanta From Philadelphia:  Two Future 2nd Round Picks (TBA) Philadelphia From Atlanta:  Efthimios Rentzias Philadelphia From Golden State:  Future 1st Round pick (TBA)  Regain rights to their 2005 first  round pick from a previous trade. Golden St. From Philadelphia:  Jiri Welsch LA Clippers From Orlando:  Future Considerations Orlando From LA Clippers:  Mario Kasun,2002 Draft Day Trades  Trades between teams sent and received  New York From Denver:  Antonio McDyess  Frank Williams  2nd Round Pick (2003) Denver From New York:  Marcus Camby  Mark Jackson  Maybyner Hilario Orlando From Utah:  Ryan Humphrey  Jamal Sampson Utah From Orlando:  Curtis Borchardt Orlando From Milwaukee:  Rashard Griffith Milwaukee From Orlando:  Jamal Sampson Memphis From Cleveland:  Wesley Person Cleveland From Memphis:  Matt Barnes  Nick Anderson Toronto From LA Lakers:  Lindsey Hunter  Chris Jefferies LA Lakers From Toronto:  Kareem Rush  Tracy Murray Milwaukee From Memphis:  Future 2nd Round Pick (2003) Memphis From Milwaukee:  Chris Owens Sacramento From Atlanta:  Future 1st Round Pick (TBA) Atlanta From Sacramento:  Dan Dickau Philadelphia From San Antonio:  Mark Bryant  John Salmons  Randy Holcomb San Antonio From Philadelphia:  Craig Claxton Atlanta From Philadelphia:  Two Future 2nd Round Picks (TBA) Philadelphia From Atlanta:  Efthimios Rentzias Philadelphia From Golden State:  Future 1st Round pick (TBA)  Regain rights to their 2005 first  round pick from a previous trade. Golden St. From Philadelphia:  Jiri Welsch LA Clippers From Orlando:  Future Considerations Orlando From LA Clippers:  Mario Kasun,2002 Draft Day Trades,Trades between teams sent and received,New York,From Denver:  Antonio McDyess  Frank Williams  2nd Round Pick (2003),Denver,From New York:  Marcus Camby  Mark Jackson  Maybyner Hilario,Orlando,From Utah:  Ryan Humphrey  Jamal Sampson,Utah,From Orlando:  Curtis Borchardt,Orlando,From Milwaukee:  Rashard Griffith,Milwaukee,From Orlando:  Jamal Sampson,Memphis,From Cleveland:  Wesley Person,Cleveland,From Memphis:  Matt Barnes  Nick Anderson,Toronto,From LA Lakers:  Lindsey Hunter  Chris Jefferies,LA Lakers,From Toronto:  Kareem Rush  Tracy Murray,Milwaukee,From Memphis:  Future 2nd Round Pick (2003),Memphis,From Milwaukee:  Chris Owens,Sacramento,From Atlanta:  Future 1st Round Pick (TBA),Atlanta,From Sacramento:  Dan Dickau,Philadelphia,From San Antonio:  Mark Bryant  John Salmons  Randy Holcomb,San Antonio,From Philadelphia:  Craig Claxton,Atlanta,From Philadelphia:  Two Future 2nd Round Picks (TBA),Philadelphia,From Atlanta:  Efthimios Rentzias,Philadelphia,From Golden State:  Future 1st Round pick (TBA)  Regain rights to their 2005 first  round pick from a previous trade.,Golden St.,From Philadelphia:  Jiri Welsch,LA Clippers,From Orlando:  Future Considerations,Orlando,From LA Clippers:  Mario Kasun,,,,,,,,,,,,,,,,,,,,,2002
145,2002 Draft Day Trades  Trades between teams sent and received  New York From Denver:  Antonio McDyess  Frank Williams  2nd Round Pick (2003) Denver From New York:  Marcus Camby  Mark Jackson  Maybyner Hilario Orlando From Utah:  Ryan Humphrey  Jamal Sampson Utah From Orlando:  Curtis Borchardt Orlando From Milwaukee:  Rashard Griffith Milwaukee From Orlando:  Jamal Sampson Memphis From Cleveland:  Wesley Person Cleveland From Memphis:  Matt Barnes  Nick Anderson Toronto From LA Lakers:  Lindsey Hunter  Chris Jefferies LA Lakers From Toronto:  Kareem Rush  Tracy Murray Milwaukee From Memphis:  Future 2nd Round Pick (2003) Memphis From Milwaukee:  Chris Owens Sacramento From Atlanta:  Future 1st Round Pick (TBA) Atlanta From Sacramento:  Dan Dickau Philadelphia From San Antonio:  Mark Bryant  John Salmons  Randy Holcomb San Antonio From Philadelphia:  Craig Claxton Atlanta From Philadelphia:  Two Future 2nd Round Picks (TBA) Philadelphia From Atlanta:  Efthimios Rentzias Philadelphia From Golden State:  Future 1st Round pick (TBA)  Regain rights to their 2005 first  round pick from a previous trade. Golden St. From Philadelphia:  Jiri Welsch LA Clippers From Orlando:  Future Considerations Orlando From LA Clippers:  Mario Kasun,2002 Draft Day Trades,Trades between teams sent and received,New York,From Denver:  Antonio McDyess  Frank Williams  2nd Round Pick (2003),Denver,From New York:  Marcus Camby  Mark Jackson  Maybyner Hilario,Orlando,From Utah:  Ryan Humphrey  Jamal Sampson,Utah,From Orlando:  Curtis Borchardt,Orlando,From Milwaukee:  Rashard Griffith,Milwaukee,From Orlando:  Jamal Sampson,Memphis,From Cleveland:  Wesley Person,Cleveland,From Memphis:  Matt Barnes  Nick Anderson,Toronto,From LA Lakers:  Lindsey Hunter  Chris Jefferies,LA Lakers,From Toronto:  Kareem Rush  Tracy Murray,Milwaukee,From Memphis:  Future 2nd Round Pick (2003),Memphis,From Milwaukee:  Chris Owens,Sacramento,From Atlanta:  Future 1st Round Pick (TBA),Atlanta,From Sacramento:  Dan Dickau,Philadelphia,From San Antonio:  Mark Bryant  John Salmons  Randy Holcomb,San Antonio,From Philadelphia:  Craig Claxton,Atlanta,From Philadelphia:  Two Future 2nd Round Picks (TBA),Philadelphia,From Atlanta:  Efthimios Rentzias,Philadelphia,From Golden State:  Future 1st Round pick (TBA)  Regain rights to their 2005 first  round pick from a previous trade.,Golden St.,From Philadelphia:  Jiri Welsch,LA Clippers,From Orlando:  Future Considerations,Orlando,From LA Clippers:  Mario Kasun,,,,,,,,,,,,,,,,,,,,,,2002
146,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2002
147,2002 Draft Day Trades,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2002
148,Trades between teams sent and received,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2002
149,New York,From Denver:  Antonio McDyess  Frank Williams  2nd Round Pick (2003),Denver,From New York:  Marcus Camby  Mark Jackson  Maybyner Hilario,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2002
150,Orlando,From Utah:  Ryan Humphrey  Jamal Sampson,Utah,From Orlando:  Curtis Borchardt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2002
151,Orlando,From Milwaukee:  Rashard Griffith,Milwaukee,From Orlando:  Jamal Sampson,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2002
152,Memphis,From Cleveland:  Wesley Person,Cleveland,From Memphis:  Matt Barnes  Nick Anderson,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2002
153,Toronto,From LA Lakers:  Lindsey Hunter  Chris Jefferies,LA Lakers,From Toronto:  Kareem Rush  Tracy Murray,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2002
154,Milwaukee,From Memphis:  Future 2nd Round Pick (2003),Memphis,From Milwaukee:  Chris Owens,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2002
155,Sacramento,From Atlanta:  Future 1st Round Pick (TBA),Atlanta,From Sacramento:  Dan Dickau,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2002
156,Philadelphia,From San Antonio:  Mark Bryant  John Salmons  Randy Holcomb,San Antonio,From Philadelphia:  Craig Claxton,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2002
157,Atlanta,From Philadelphia:  Two Future 2nd Round Picks (TBA),Philadelphia,From Atlanta:  Efthimios Rentzias,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2002
158,Philadelphia,From Golden State:  Future 1st Round pick (TBA)  Regain rights to their 2005 first  round pick from a previous trade.,Golden St.,From Philadelphia:  Jiri Welsch,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2002
159,LA Clippers,From Orlando:  Future Considerations,Orlando,From LA Clippers:  Mario Kasun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2002
160,2003 Draft Day Trades  Trades between teams sent and received  Boston From Memphis:  Marcus Banks  Kendrick Perkins Memphis From Boston:  Troy Bell  Dahntay Jones San Antonio From Phoenix:  Future 1st Round Pick (TBA) Phoenix From San Antonio:  Leandrinho Barbosa Milwaukee From Orlando:  Cash Considerations Orlando From Milwaukee:  Keith Bogans Seattle From Philadelphia:  Pacellis Morlende Philadelphia From Seattle:  Willie Green New Jersey From Philadelphia:  Cash Considerations Philadelphia From New Jersey:  Kyle Korver Chicago From Toronto:  Future 2nd Round Pick (TBA) Toronto From Chicago:  Matt Bonner Denver From Dallas:  Xue Yuyang Mavericks From Denver:  Future 2nd Round Pick (2004),2003 Draft Day Trades,Trades between teams sent and received,Boston,From Memphis:  Marcus Banks  Kendrick Perkins,Memphis,From Boston:  Troy Bell  Dahntay Jones,San Antonio,From Phoenix:  Future 1st Round Pick (TBA),Phoenix,From San Antonio:  Leandrinho Barbosa,Milwaukee,From Orlando:  Cash Considerations,Orlando,From Milwaukee:  Keith Bogans,Seattle,From Philadelphia:  Pacellis Morlende,Philadelphia,From Seattle:  Willie Green,New Jersey,From Philadelphia:  Cash Considerations,Philadelphia,From New Jersey:  Kyle Korver,Chicago,From Toronto:  Future 2nd Round Pick (TBA),Toronto,From Chicago:  Matt Bonner,Denver,From Dallas:  Xue Yuyang,Mavericks,From Denver:  Future 2nd Round Pick (2004),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2003
161,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2003
162,2003 Draft Day Trades,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2003
163,Trades between teams sent and received,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2003
164,Boston,From Memphis:  Marcus Banks  Kendrick Perkins,Memphis,From Boston:  Troy Bell  Dahntay Jones,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2003
165,San Antonio,From Phoenix:  Future 1st Round Pick (TBA),Phoenix,From San Antonio:  Leandrinho Barbosa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2003
166,Milwaukee,From Orlando:  Cash Considerations,Orlando,From Milwaukee:  Keith Bogans,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2003
167,Seattle,From Philadelphia:  Pacellis Morlende,Philadelphia,From Seattle:  Willie Green,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2003
168,New Jersey,From Philadelphia:  Cash Considerations,Philadelphia,From New Jersey:  Kyle Korver,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2003
169,Chicago,From Toronto:  Future 2nd Round Pick (TBA),Toronto,From Chicago:  Matt Bonner,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2003
170,Denver,From Dallas:  Xue Yuyang,Mavericks,From Denver:  Future 2nd Round Pick (2004),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2003
171,2004 Draft Day Trades  Trades between teams sent and received  Washington From Dallas:  Antawn Jamison Mavericks From Washington:  Jerry Stackhouse  Christian Laettner  Devin Harris Denver From Orlando:  Future 1st Round Draft Pick (TBD) Orlando From Denver:  Jameer Nelson Utah From Dallas:  Future 1st Round Draft Pick (2005) Mavericks From Utah:  Pavel Podkolzin New Jersey From Portland:  Eddie Gill Portland From New Jersey:  Viktor Khryapa Phoenix From Chicago:  Jackson Vroman  Future 1st Round Draft Pick (TBD) Chicago From Phoenix:  Luol Deng Seattle From Memphis:  Future 2nd Round Pick (TBD) Memphis From Seattle:  Andre Emmett Orlando From Memphis:  Cash Considerations Memphis From Dallas:  Antonio Burks,2004 Draft Day Trades,Trades between teams sent and received,Washington,From Dallas:  Antawn Jamison,Mavericks,From Washington:  Jerry Stackhouse  Christian Laettner  Devin Harris,Denver,From Orlando:  Future 1st Round Draft Pick (TBD),Orlando,From Denver:  Jameer Nelson,Utah,From Dallas:  Future 1st Round Draft Pick (2005),Mavericks,From Utah:  Pavel Podkolzin,New Jersey,From Portland:  Eddie Gill,Portland,From New Jersey:  Viktor Khryapa,Phoenix,From Chicago:  Jackson Vroman  Future 1st Round Draft Pick (TBD),Chicago,From Phoenix:  Luol Deng,Seattle,From Memphis:  Future 2nd Round Pick (TBD),Memphis,From Seattle:  Andre Emmett,Orlando,From Memphis:  Cash Considerations,Memphis,From Dallas:  Antonio Burks,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2004
172,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2004
173,2004 Draft Day Trades,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2004
174,Trades between teams sent and received,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2004
175,Washington,From Dallas:  Antawn Jamison,Mavericks,From Washington:  Jerry Stackhouse  Christian Laettner  Devin Harris,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2004
176,Denver,From Orlando:  Future 1st Round Draft Pick (TBD),Orlando,From Denver:  Jameer Nelson,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2004
177,Utah,From Dallas:  Future 1st Round Draft Pick (2005),Mavericks,From Utah:  Pavel Podkolzin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2004
178,New Jersey,From Portland:  Eddie Gill,Portland,From New Jersey:  Viktor Khryapa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2004
179,Phoenix,From Chicago:  Jackson Vroman  Future 1st Round Draft Pick (TBD),Chicago,From Phoenix:  Luol Deng,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2004
180,Seattle,From Memphis:  Future 2nd Round Pick (TBD),Memphis,From Seattle:  Andre Emmett,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2004
181,Orlando,From Memphis:  Cash Considerations,Memphis,From Dallas:  Antonio Burks,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2004
